what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501335344260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335357483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335372900
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501335372924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501335376393
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1501335399698
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501335399983
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501335408906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501335410891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501335412669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501335413523
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1501335415425
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501335415692
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501335418549
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1501335423910
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501335424192
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501335425330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335429662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335769670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335785559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335788724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1501335790389
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1501335793534
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1501335794402
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1501335794405
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1501335794418
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1501335794419
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1501335794437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335801237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335811163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335814395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335862835
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501335862858
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1501335864100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335866097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335900269
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501335900649
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501335900710
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1501335901412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335904047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335917433
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501335917785
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501335917860
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1501335918436
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501335920131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1501335922151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501335922968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501336118667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501336126772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501336138289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501336150853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501336170513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501336175588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501336176295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501336193256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501336199960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501336204165
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1501336214835
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501336215102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501336218212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501336322535
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501336322559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501336325767
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1501336348380
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501336348651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501336349920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501336391936
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501336391963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501336393914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501337317727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501337318232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501337862727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501337873693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501337897842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501337920979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501338037310
